source_province,category,comparable_years,comparable_year_count,school_context_count,observed_school_context_count,reference_ge3_count,reference_ge3_percent,reference_eq2_count,reference_eq2_percent,reference_eq1_count,reference_eq1_percent,reference_eq0_count,reference_eq0_percent,observed_reference_ge2_percent,observed_reference_eq1_percent
安徽,理科,2023,1,2952,1798,0,0.0000,0,0.0000,1798,60.9079,1154,39.0921,0.0000,100.0000
安徽,历史类,2024|2025,2,2952,1774,0,0.0000,446,15.1084,1328,44.9864,1178,39.9051,25.1409,74.8591
安徽,文科,2023,1,2952,1594,0,0.0000,0,0.0000,1594,53.9973,1358,46.0027,0.0000,100.0000
安徽,物理类,2024|2025,2,2952,1942,0,0.0000,548,18.5637,1394,47.2222,1010,34.2141,28.2183,71.7817
安徽,艺术类（历史）,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
北京,综合,2023|2024|2025,3,2952,646,0,0.0000,63,2.1341,279,9.4512,2610,88.4146,9.7523,43.1889
福建,历史类,2023|2024|2025,3,2952,1319,0,0.0000,613,20.7656,633,21.4431,1706,57.7913,46.4746,47.9909
福建,物理类,2023|2024|2025,3,2952,1493,0,0.0000,755,25.5759,695,23.5434,1502,50.8808,50.5693,46.5506
福建,艺术类（历史）,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
甘肃,理科,2023,1,2952,525,0,0.0000,0,0.0000,524,17.7507,2428,82.2493,0.0000,99.8095
甘肃,历史类,2024|2025,2,2952,1397,0,0.0000,354,11.9919,1043,35.3320,1555,52.6762,25.3400,74.6600
甘肃,体育类,2023,1,2952,2,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
甘肃,文科,2023,1,2952,430,0,0.0000,0,0.0000,429,14.5325,2523,85.4675,0.0000,99.7674
甘肃,物理类,2024|2025,2,2952,1631,0,0.0000,459,15.5488,1172,39.7019,1321,44.7493,28.1422,71.8578
甘肃,艺术类,2023,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
甘肃,艺术类（历史）,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
广东,历史类,2023|2024|2025,3,2952,901,0,0.0000,55,1.8631,546,18.4959,2351,79.6409,6.1043,60.5993
广东,物理类,2024|2025,2,2952,607,0,0.0000,61,2.0664,546,18.4959,2345,79.4377,10.0494,89.9506
广东,艺术类（历史）,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
广西,理科,2023,1,2952,1692,0,0.0000,0,0.0000,1687,57.1477,1265,42.8523,0.0000,99.7045
广西,历史类,2024|2025,2,2952,1163,0,0.0000,473,16.0230,689,23.3401,1790,60.6369,40.6707,59.2433
广西,文科,2023,1,2952,1535,0,0.0000,0,0.0000,1530,51.8293,1422,48.1707,0.0000,99.6743
广西,物理类,2024|2025,2,2952,1321,0,0.0000,582,19.7154,736,24.9322,1634,55.3523,44.0575,55.7154
广西,艺术类（历史）,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
贵州,理科,2023,1,2952,1138,0,0.0000,0,0.0000,1135,38.4485,1817,61.5515,0.0000,99.7364
贵州,历史类,2024|2025,2,2952,1858,0,0.0000,1647,55.7927,211,7.1477,1094,37.0596,88.6437,11.3563
贵州,体育类,2023,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
贵州,体育类（历史）,2024,1,2952,13,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
贵州,体育类（物理）,2024,1,2952,14,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
贵州,体育理,2023,1,2952,8,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
贵州,体育文,2023,1,2952,6,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
贵州,文科,2023,1,2952,1001,0,0.0000,0,0.0000,999,33.8415,1953,66.1585,0.0000,99.8002
贵州,物理类,2024|2025,2,2952,2019,0,0.0000,1876,63.5501,143,4.8442,933,31.6057,92.9173,7.0827
贵州,艺术类,2023|2024,2,2952,18,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
贵州,艺术类（历史）,2024|2025,2,2952,34,0,0.0000,0,0.0000,2,0.0678,2950,99.9322,0.0000,5.8824
贵州,艺术类（物理）,2024,1,2952,31,0,0.0000,0,0.0000,1,0.0339,2951,99.9661,0.0000,3.2258
贵州,艺术理,2023,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
